incident_type,feature,feature_readable,coefficient,direction,abs_coefficient
Altercation,vital_blood_sugar_mean_90d,Vital (blood sugar mean 90d),0.05898409491295889,increases_risk,0.05898409491295889
Altercation,dx_distinct_icd,Distinct ICD codes,0.05827832492854405,increases_risk,0.05827832492854405
Altercation,tag_nutrition_plan_90d,Document tag (nutrition plan 90d),0.05538551814970736,increases_risk,0.05538551814970736
Altercation,tag_wound_care_90d,Document tag (wound care 90d),0.0536808060374506,increases_risk,0.0536808060374506
Altercation,outpatient,Outpatient flag,-0.052311799433032394,decreases_risk,0.052311799433032394
Altercation,vital_blood_sugar_mean_30d,Vital (blood sugar mean 30d),0.05220990651954126,increases_risk,0.05220990651954126
Altercation,tag_nutrition_plan_30d,Document tag (nutrition plan 30d),0.04830954019866993,increases_risk,0.04830954019866993
Altercation,vital_weight_count_90d,Vital (weight count 90d),-0.045510061846951125,decreases_risk,0.045510061846951125
Altercation,vital_temperature_count_30d,Vital (temperature count 30d),0.04503573270851352,increases_risk,0.04503573270851352
Altercation,dx_active_count,Active diagnoses,0.043401809616669056,increases_risk,0.043401809616669056
Altercation,med_count_90d,Medication administrations (90d),0.039774701726042756,increases_risk,0.039774701726042756
Altercation,vital_bp_systolic_max_30d,Vital (bp systolic max 30d),0.03895189737306475,increases_risk,0.03895189737306475
Altercation,med_count_30d,Medication administrations (30d),0.037607175212275835,increases_risk,0.037607175212275835
Altercation,vital_blood_sugar_count_90d,Vital (blood sugar count 90d),-0.03748083293965837,decreases_risk,0.03748083293965837
Altercation,vital_respiration_count_90d,Vital (respiration count 90d),0.03669358170785808,increases_risk,0.03669358170785808
Altercation,vital_pain_level_max_30d,Vital (pain level max 30d),0.035440842004558194,increases_risk,0.035440842004558194
Altercation,vital_pain_level_max_90d,Vital (pain level max 90d),-0.034775460072499986,decreases_risk,0.034775460072499986
Altercation,tag_physician_notification_90d,Document tag (physician notification 90d),0.030155673269573576,increases_risk,0.030155673269573576
Altercation,tag_wound_care_30d,Document tag (wound care 30d),0.02931302507811399,increases_risk,0.02931302507811399
Altercation,tag_physician_notification_30d,Document tag (physician notification 30d),0.02595428746370565,increases_risk,0.02595428746370565
Altercation,vital_pain_level_count_30d,Vital (pain level count 30d),-0.023117751006864074,decreases_risk,0.023117751006864074
Altercation,med_on_time_rate_30d,Medication on-time rate (30d),0.021429850035315157,increases_risk,0.021429850035315157
Altercation,med_on_time_rate_90d,Medication on-time rate (90d),0.02107188592995085,increases_risk,0.02107188592995085
Altercation,vital_blood_sugar_max_90d,Vital (blood sugar max 90d),0.019234435695992966,increases_risk,0.019234435695992966
Altercation,vital_blood_sugar_max_30d,Vital (blood sugar max 30d),0.019164856158625683,increases_risk,0.019164856158625683
Altercation,tag_pain_progress_note_90d,Document tag (pain progress note 90d),0.015493104357008824,increases_risk,0.015493104357008824
Altercation,tag_pain_progress_note_30d,Document tag (pain progress note 30d),0.01391694141828218,increases_risk,0.01391694141828218
Altercation,vital_respiration_count_30d,Vital (respiration count 30d),0.013481533223043707,increases_risk,0.013481533223043707
Altercation,tag_family_responsible_90d,Document tag (family responsible 90d),0.007556536931351955,increases_risk,0.007556536931351955
Altercation,vital_pain_level_mean_90d,Vital (pain level mean 90d),-0.003961033954908812,decreases_risk,0.003961033954908812
Altercation,tag_family_responsible_30d,Document tag (family responsible 30d),-0.0035958295943729914,decreases_risk,0.0035958295943729914
Altercation,vital_pulse_count_90d,Vital (pulse count 90d),0.002720142521772481,increases_risk,0.002720142521772481
Altercation,vital_weight_count_30d,Vital (weight count 30d),0.0008817991895955157,increases_risk,0.0008817991895955157
Altercation,vital_pulse_count_30d,Vital (pulse count 30d),-7.174993264370247e-05,decreases_risk,7.174993264370247e-05
Altercation,adl_count_30d,ADL assessments (30d),0.0,decreases_risk,0.0
Altercation,adl_count_90d,ADL assessments (90d),0.0,decreases_risk,0.0
Altercation,gg_count_30d,Functional (GG) assessments (30d),0.0,decreases_risk,0.0
Altercation,gg_count_90d,Functional (GG) assessments (90d),0.0,decreases_risk,0.0
Altercation,tag_assistance_needed_30d,Document tag (assistance needed 30d),0.0,decreases_risk,0.0
Altercation,tag_assistance_needed_90d,Document tag (assistance needed 90d),0.0,decreases_risk,0.0
Altercation,tag_antibiotic_therapy_30d,Document tag (antibiotic therapy 30d),0.0,decreases_risk,0.0
Altercation,tag_antibiotic_therapy_90d,Document tag (antibiotic therapy 90d),0.0,decreases_risk,0.0
Fall,age_years,Age at index (years),0.381048518562915,increases_risk,0.381048518562915
Fall,days_since_admission,Days since admission,-0.30782238147830376,decreases_risk,0.30782238147830376
Fall,vital_temperature_max_30d,Vital (temperature max 30d),0.2697653266242452,increases_risk,0.2697653266242452
Fall,outpatient,Outpatient flag,-0.20469535058243224,decreases_risk,0.20469535058243224
Fall,vital_weight_last_90d,Vital (weight last 90d),0.20166778671396332,increases_risk,0.20166778671396332
Fall,vital_bp_systolic_max_90d,Vital (bp systolic max 90d),0.181650512381542,increases_risk,0.181650512381542
Fall,vital_blood_sugar_count_90d,Vital (blood sugar count 90d),-0.1669523933121831,decreases_risk,0.1669523933121831
Fall,vital_blood_sugar_mean_30d,Vital (blood sugar mean 30d),0.1527053701674998,increases_risk,0.1527053701674998
Fall,vital_pain_level_max_90d,Vital (pain level max 90d),0.151970635069,increases_risk,0.151970635069
Fall,vital_o2_sats_mean_90d,Vital (o2 sats mean 90d),0.14736610779981316,increases_risk,0.14736610779981316
Fall,vital_bp_systolic_mean_90d,Vital (bp systolic mean 90d),0.1437242188589905,increases_risk,0.1437242188589905
Fall,vital_pulse_mean_90d,Vital (pulse mean 90d),0.14139450648029508,increases_risk,0.14139450648029508
Fall,vital_respiration_mean_90d,Vital (respiration mean 90d),0.13596394520361854,increases_risk,0.13596394520361854
Fall,dx_distinct_icd,Distinct ICD codes,0.13451147602065314,increases_risk,0.13451147602065314
Fall,vital_bp_systolic_diastolic_mean_90d,Vital (bp systolic diastolic mean 90d),0.1325722582306903,increases_risk,0.1325722582306903
Fall,vital_pain_level_count_30d,Vital (pain level count 30d),0.11911680402753208,increases_risk,0.11911680402753208
Fall,vital_weight_last_30d,Vital (weight last 30d),0.1177175200259646,increases_risk,0.1177175200259646
Fall,vital_pulse_count_90d,Vital (pulse count 90d),-0.1115541183731935,decreases_risk,0.1115541183731935
Fall,vital_temperature_max_90d,Vital (temperature max 90d),0.10739829366337439,increases_risk,0.10739829366337439
Fall,vital_weight_change_90d,Vital (weight change 90d),-0.10528068780290292,decreases_risk,0.10528068780290292
Fall,tag_pain_progress_note_30d,Document tag (pain progress note 30d),-0.10435749082641219,decreases_risk,0.10435749082641219
Fall,needs_active_count,Active care needs,0.1031311955673125,increases_risk,0.1031311955673125
Fall,vital_o2_sats_min_90d,Vital (o2 sats min 90d),0.098743510366187,increases_risk,0.098743510366187
Fall,vital_bp_systolic_count_90d,Vital (bp systolic count 90d),-0.09460118802493324,decreases_risk,0.09460118802493324
Fall,vital_blood_sugar_mean_90d,Vital (blood sugar mean 90d),0.08471041187935249,increases_risk,0.08471041187935249
Fall,vital_pain_level_max_30d,Vital (pain level max 30d),0.08203226791355293,increases_risk,0.08203226791355293
Fall,vital_pain_level_mean_30d,Vital (pain level mean 30d),-0.08081492239165923,decreases_risk,0.08081492239165923
Fall,vital_o2_sats_count_30d,Vital (o2 sats count 30d),0.07187905462684777,increases_risk,0.07187905462684777
Fall,vital_respiration_mean_30d,Vital (respiration mean 30d),0.07096720370148658,increases_risk,0.07096720370148658
Fall,tag_wound_care_30d,Document tag (wound care 30d),-0.069684878041068,decreases_risk,0.069684878041068
Fall,tag_nutrition_plan_30d,Document tag (nutrition plan 30d),0.06860013513693695,increases_risk,0.06860013513693695
Fall,med_count_90d,Medication administrations (90d),-0.06762806303257834,decreases_risk,0.06762806303257834
Fall,vital_temperature_count_30d,Vital (temperature count 30d),0.06675583847581784,increases_risk,0.06675583847581784
Fall,vital_pain_level_mean_90d,Vital (pain level mean 90d),-0.061600215422804756,decreases_risk,0.061600215422804756
Fall,tag_assistance_needed_90d,Document tag (assistance needed 90d),0.05753576105511228,increases_risk,0.05753576105511228
Fall,vital_bp_systolic_count_30d,Vital (bp systolic count 30d),-0.051319157146536155,decreases_risk,0.051319157146536155
Fall,vital_bp_systolic_max_30d,Vital (bp systolic max 30d),0.044489190862641026,increases_risk,0.044489190862641026
Fall,vital_o2_sats_min_30d,Vital (o2 sats min 30d),-0.038451638358372515,decreases_risk,0.038451638358372515
Fall,tag_family_responsible_90d,Document tag (family responsible 90d),0.03701670115124522,increases_risk,0.03701670115124522
Fall,med_on_time_rate_30d,Medication on-time rate (30d),0.036474290737867336,increases_risk,0.036474290737867336
Fall,tag_hypertension_30d,Document tag (hypertension 30d),-0.036354706278701944,decreases_risk,0.036354706278701944
Fall,tag_hypertension_90d,Document tag (hypertension 90d),-0.036354706278701944,decreases_risk,0.036354706278701944
Fall,tag_nutrition_plan_90d,Document tag (nutrition plan 90d),0.03507179668678831,increases_risk,0.03507179668678831
Fall,tag_family_responsible_30d,Document tag (family responsible 30d),0.03504765998404509,increases_risk,0.03504765998404509
Fall,dx_active_count,Active diagnoses,0.03502725380170715,increases_risk,0.03502725380170715
Fall,vital_weight_change_30d,Vital (weight change 30d),0.03435931435965586,increases_risk,0.03435931435965586
Fall,vital_pain_level_count_90d,Vital (pain level count 90d),-0.03387067982810363,decreases_risk,0.03387067982810363
Fall,tag_pain_progress_note_90d,Document tag (pain progress note 90d),-0.03271795849246008,decreases_risk,0.03271795849246008
Fall,med_count_30d,Medication administrations (30d),-0.03114177054326361,decreases_risk,0.03114177054326361
Fall,vital_blood_sugar_max_30d,Vital (blood sugar max 30d),0.031081179447044312,increases_risk,0.031081179447044312
Fall,vital_o2_sats_count_90d,Vital (o2 sats count 90d),-0.02995963129854616,decreases_risk,0.02995963129854616
Fall,med_on_time_rate_90d,Medication on-time rate (90d),0.029799060417043593,increases_risk,0.029799060417043593
Fall,vital_respiration_count_30d,Vital (respiration count 30d),-0.027916109672391515,decreases_risk,0.027916109672391515
Fall,vital_pulse_count_30d,Vital (pulse count 30d),-0.020955263189472377,decreases_risk,0.020955263189472377
Fall,tag_wound_care_90d,Document tag (wound care 90d),-0.020223753511916135,decreases_risk,0.020223753511916135
Fall,vital_bp_systolic_mean_30d,Vital (bp systolic mean 30d),-0.019156627691552446,decreases_risk,0.019156627691552446
Fall,vital_blood_sugar_count_30d,Vital (blood sugar count 30d),-0.01897215359300615,decreases_risk,0.01897215359300615
Fall,vital_blood_sugar_max_90d,Vital (blood sugar max 90d),-0.018525627210837226,decreases_risk,0.018525627210837226
Fall,tag_physician_notification_30d,Document tag (physician notification 30d),-0.016334765106685325,decreases_risk,0.016334765106685325
Fall,tag_assistance_needed_30d,Document tag (assistance needed 30d),0.016157479154937527,increases_risk,0.016157479154937527
Fall,tag_physician_notification_90d,Document tag (physician notification 90d),0.01537149105042209,increases_risk,0.01537149105042209
Fall,vital_weight_count_90d,Vital (weight count 90d),0.0148393984694008,increases_risk,0.0148393984694008
Fall,vital_respiration_count_90d,Vital (respiration count 90d),0.01087233756521535,increases_risk,0.01087233756521535
Fall,vital_pulse_mean_30d,Vital (pulse mean 30d),-0.0076667684754191615,decreases_risk,0.0076667684754191615
Fall,vital_weight_count_30d,Vital (weight count 30d),-0.006863590964506838,decreases_risk,0.006863590964506838
Fall,vital_bp_systolic_diastolic_mean_30d,Vital (bp systolic diastolic mean 30d),-0.006117286560780629,decreases_risk,0.006117286560780629
Fall,vital_temperature_count_90d,Vital (temperature count 90d),-0.004297176161856941,decreases_risk,0.004297176161856941
Fall,vital_o2_sats_mean_30d,Vital (o2 sats mean 30d),0.0032846060046809933,increases_risk,0.0032846060046809933
Fall,adl_count_30d,ADL assessments (30d),0.0,decreases_risk,0.0
Fall,adl_count_90d,ADL assessments (90d),0.0,decreases_risk,0.0
Fall,gg_count_30d,Functional (GG) assessments (30d),0.0,decreases_risk,0.0
Fall,gg_count_90d,Functional (GG) assessments (90d),0.0,decreases_risk,0.0
Fall,tag_antibiotic_therapy_30d,Document tag (antibiotic therapy 30d),0.0,decreases_risk,0.0
Fall,tag_antibiotic_therapy_90d,Document tag (antibiotic therapy 90d),0.0,decreases_risk,0.0
Wound,vital_temperature_max_30d,Vital (temperature max 30d),0.2162692672881016,increases_risk,0.2162692672881016
Wound,vital_o2_sats_min_90d,Vital (o2 sats min 90d),0.2009319158850294,increases_risk,0.2009319158850294
Wound,vital_pulse_mean_90d,Vital (pulse mean 90d),0.15679011530252943,increases_risk,0.15679011530252943
Wound,vital_temperature_count_90d,Vital (temperature count 90d),0.15244983325384218,increases_risk,0.15244983325384218
Wound,vital_o2_sats_mean_90d,Vital (o2 sats mean 90d),0.15162779947900315,increases_risk,0.15162779947900315
Wound,vital_o2_sats_min_30d,Vital (o2 sats min 30d),0.14035069864263966,increases_risk,0.14035069864263966
Wound,vital_temperature_count_30d,Vital (temperature count 30d),0.1364735933825495,increases_risk,0.1364735933825495
Wound,vital_weight_last_90d,Vital (weight last 90d),0.13277116431009747,increases_risk,0.13277116431009747
Wound,vital_weight_last_30d,Vital (weight last 30d),0.13140057340117076,increases_risk,0.13140057340117076
Wound,vital_o2_sats_count_30d,Vital (o2 sats count 30d),-0.1298201336366703,decreases_risk,0.1298201336366703
Wound,vital_o2_sats_mean_30d,Vital (o2 sats mean 30d),0.12302765027840576,increases_risk,0.12302765027840576
Wound,vital_pain_level_max_90d,Vital (pain level max 90d),0.12231643532467777,increases_risk,0.12231643532467777
Wound,tag_wound_care_90d,Document tag (wound care 90d),-0.1041711391550716,decreases_risk,0.1041711391550716
Wound,vital_pulse_mean_30d,Vital (pulse mean 30d),0.10213931675720259,increases_risk,0.10213931675720259
Wound,vital_weight_change_90d,Vital (weight change 90d),-0.09994472816710344,decreases_risk,0.09994472816710344
Wound,outpatient,Outpatient flag,-0.09785371610147107,decreases_risk,0.09785371610147107
Wound,vital_temperature_max_90d,Vital (temperature max 90d),0.09363132866378218,increases_risk,0.09363132866378218
Wound,vital_o2_sats_count_90d,Vital (o2 sats count 90d),-0.09178681338987724,decreases_risk,0.09178681338987724
Wound,needs_active_count,Active care needs,0.09094342950933093,increases_risk,0.09094342950933093
Wound,vital_respiration_mean_90d,Vital (respiration mean 90d),0.09065571590522346,increases_risk,0.09065571590522346
Wound,vital_bp_systolic_count_90d,Vital (bp systolic count 90d),-0.08849441225445334,decreases_risk,0.08849441225445334
Wound,age_years,Age at index (years),0.0875483321000722,increases_risk,0.0875483321000722
Wound,vital_pain_level_count_90d,Vital (pain level count 90d),0.0871220786660343,increases_risk,0.0871220786660343
Wound,vital_bp_systolic_mean_90d,Vital (bp systolic mean 90d),0.0832567905710607,increases_risk,0.0832567905710607
Wound,dx_distinct_icd,Distinct ICD codes,0.08271871556865265,increases_risk,0.08271871556865265
Wound,vital_pain_level_mean_90d,Vital (pain level mean 90d),0.08156373322325523,increases_risk,0.08156373322325523
Wound,vital_bp_systolic_diastolic_mean_90d,Vital (bp systolic diastolic mean 90d),0.08110879732164473,increases_risk,0.08110879732164473
Wound,tag_wound_care_30d,Document tag (wound care 30d),-0.07841935055719686,decreases_risk,0.07841935055719686
Wound,tag_family_responsible_90d,Document tag (family responsible 90d),0.07668974125866262,increases_risk,0.07668974125866262
Wound,vital_bp_systolic_diastolic_mean_30d,Vital (bp systolic diastolic mean 30d),0.07466155561760207,increases_risk,0.07466155561760207
Wound,med_count_90d,Medication administrations (90d),0.06917462881897168,increases_risk,0.06917462881897168
Wound,vital_weight_count_30d,Vital (weight count 30d),0.06629255862110864,increases_risk,0.06629255862110864
Wound,vital_bp_systolic_mean_30d,Vital (bp systolic mean 30d),0.06367382696166962,increases_risk,0.06367382696166962
Wound,vital_bp_systolic_count_30d,Vital (bp systolic count 30d),-0.061732633026503274,decreases_risk,0.061732633026503274
Wound,vital_bp_systolic_max_30d,Vital (bp systolic max 30d),0.06145569829942598,increases_risk,0.06145569829942598
Wound,vital_blood_sugar_mean_90d,Vital (blood sugar mean 90d),0.06044613314579864,increases_risk,0.06044613314579864
Wound,vital_respiration_mean_30d,Vital (respiration mean 30d),-0.0598551411196318,decreases_risk,0.0598551411196318
Wound,vital_weight_count_90d,Vital (weight count 90d),0.059436080608534114,increases_risk,0.059436080608534114
Wound,days_since_admission,Days since admission,-0.059158722925938066,decreases_risk,0.059158722925938066
Wound,vital_blood_sugar_max_30d,Vital (blood sugar max 30d),0.05764711875369086,increases_risk,0.05764711875369086
Wound,tag_pain_progress_note_30d,Document tag (pain progress note 30d),-0.05630442730058399,decreases_risk,0.05630442730058399
Wound,vital_pain_level_mean_30d,Vital (pain level mean 30d),0.05326923993448653,increases_risk,0.05326923993448653
Wound,tag_family_responsible_30d,Document tag (family responsible 30d),0.05070387177243528,increases_risk,0.05070387177243528
Wound,tag_pain_progress_note_90d,Document tag (pain progress note 90d),-0.0492353571895364,decreases_risk,0.0492353571895364
Wound,tag_physician_notification_90d,Document tag (physician notification 90d),0.04599677716389211,increases_risk,0.04599677716389211
Wound,vital_pulse_count_90d,Vital (pulse count 90d),-0.04584169120044988,decreases_risk,0.04584169120044988
Wound,tag_physician_notification_30d,Document tag (physician notification 30d),0.04132589132063896,increases_risk,0.04132589132063896
Wound,tag_hypertension_90d,Document tag (hypertension 90d),0.03871553950419058,increases_risk,0.03871553950419058
Wound,vital_pain_level_count_30d,Vital (pain level count 30d),0.03860560803921276,increases_risk,0.03860560803921276
Wound,vital_blood_sugar_count_90d,Vital (blood sugar count 90d),0.036716169977174744,increases_risk,0.036716169977174744
Wound,vital_pulse_count_30d,Vital (pulse count 30d),-0.031626509684782235,decreases_risk,0.031626509684782235
Wound,vital_blood_sugar_max_90d,Vital (blood sugar max 90d),0.03086229484766644,increases_risk,0.03086229484766644
Wound,tag_nutrition_plan_30d,Document tag (nutrition plan 30d),0.025566281661198696,increases_risk,0.025566281661198696
Wound,vital_blood_sugar_mean_30d,Vital (blood sugar mean 30d),0.02516931678336779,increases_risk,0.02516931678336779
Wound,vital_weight_change_30d,Vital (weight change 30d),0.023005574975219822,increases_risk,0.023005574975219822
Wound,dx_active_count,Active diagnoses,0.02287182344021619,increases_risk,0.02287182344021619
Wound,vital_respiration_count_30d,Vital (respiration count 30d),0.02231685673352997,increases_risk,0.02231685673352997
Wound,med_on_time_rate_90d,Medication on-time rate (90d),0.020191692338076297,increases_risk,0.020191692338076297
Wound,vital_pain_level_max_30d,Vital (pain level max 30d),0.018255797558210208,increases_risk,0.018255797558210208
Wound,tag_nutrition_plan_90d,Document tag (nutrition plan 90d),0.018141206237580997,increases_risk,0.018141206237580997
Wound,tag_hypertension_30d,Document tag (hypertension 30d),0.017049846793076844,increases_risk,0.017049846793076844
Wound,vital_bp_systolic_max_90d,Vital (bp systolic max 90d),-0.011577640211237977,decreases_risk,0.011577640211237977
Wound,med_on_time_rate_30d,Medication on-time rate (30d),0.010777804073032835,increases_risk,0.010777804073032835
Wound,vital_respiration_count_90d,Vital (respiration count 90d),0.008621326868575821,increases_risk,0.008621326868575821
Wound,vital_blood_sugar_count_30d,Vital (blood sugar count 30d),0.004582912850742177,increases_risk,0.004582912850742177
Wound,med_count_30d,Medication administrations (30d),-0.0005486975329374554,decreases_risk,0.0005486975329374554
Wound,adl_count_30d,ADL assessments (30d),0.0,decreases_risk,0.0
Wound,adl_count_90d,ADL assessments (90d),0.0,decreases_risk,0.0
Wound,gg_count_30d,Functional (GG) assessments (30d),0.0,decreases_risk,0.0
Wound,gg_count_90d,Functional (GG) assessments (90d),0.0,decreases_risk,0.0
Wound,tag_assistance_needed_30d,Document tag (assistance needed 30d),0.0,decreases_risk,0.0
Wound,tag_assistance_needed_90d,Document tag (assistance needed 90d),0.0,decreases_risk,0.0
Wound,tag_antibiotic_therapy_30d,Document tag (antibiotic therapy 30d),0.0,decreases_risk,0.0
Wound,tag_antibiotic_therapy_90d,Document tag (antibiotic therapy 90d),0.0,decreases_risk,0.0
